,Sentence
7870,pleasant surprise
1835,new balance pride
3977,ok quality
272,good walking shoe would not recommend for running
3247,not as comfortable as past shoes
1115,great walking shoe
4512,my go to shoes
2943,inconsistent quality
5555,super comfy
4630,awesome
3940,unfortunately the size was much too small seems to be approx near a half size too small
6460,super comfort
6833,sole is falling apart
4198,don t buy
3472,definite yes
1863,exact fit
591,too small but too wide
5719,on to the next one
2702,really cute colors
2237,not comfortable
4389,great purchase
2767,not as wide as others
8376,comfortable on the bottom of the foot
3235,shipping
2878,shoes are very hard no cushion wish i could return them
8608,poor quality
3262,don’t buy if you are on you’re feet a lot
2398,if you have foot issues check out this shoe
7079,perfect
6684,cheap sneaker and failed to last months
6090,great shoe for the price
1773,demasiado cómodos
6486,active excellence
7676,one star
2319,don t wash these shoes
3360,shoes are great but get your actual size
2081,fantastic
1275,it s what i expected and fits perfectly
4927,if you re a size wide stay away
7575,not true to size and had already been returned
7133,very reasonably priced sneaker and look very good on my year old son
7959,too narrow
488,very comfortable
6509,the shoe is great the insole not so much addendum shoe is not great after all
7702,the shoe is nice looking but my year old didn’t wear them
8322,not a good asics shoe
2323,e is a little narrow
6934,knock off
3411,stylish and snug fit
6602,comfy but the quality
6231,new favorite sneaker
7818,shoe fantastic
4069,small
2043,comfortable and right weight
1676,i bought them again
636,a full size or more smaller than normal sizing
6623,terrible durability
6205,great shoes
6446,comfort
2064,excellent light weight
3326,wide width not really wide
7691,two stars
395,great shoes
700,didn’t last long
4319,shoes look good but standing on feet for a shift of work
2067,good
297,love these
2358,very high arches very uncomfortable
3547,beautiful
1722,great shoes that are wide enough comfy
739,not what i expected
8179,glad i guessed my size right
7807,consistent quality and fit
2960,weird fit
4171,too narroe
3245,eh
1753,great fit looks great
8462,wouldn’t buy again
5524,great comfy footwear for any activity
7897,a great pair of shoes
1540,poor quality
4467,terrific shoe
291,between sizes wide feet size up
2072,comfy shoes
2837,great shoes
5430,love these
4215,order a larger pair than what you normally wear
206,favorite shoes
1459,comfortable for a lot of walking
3920,horrible
3804,very comfortable
5838,adorable for every day use not great for running
2662,best walking shoes
3462,comfortable and hold up to abuse
3785,high instep
2367,wide feet beware
5788,runs small
6807,sent me the wrong color
8324,poorer design quality vs gel venture
7430,five stars
6924,short life expectancy
6593,little arch support
8161,a good w shoe
6625,can not return
2742,perfect for walking
637,poorly made
1323,thanks
7174,my favorite nike’s
5591,not for running
2391,comfortable and actually stay tied
5693,nice but not for me
5431,must have if you are looking for comfort
8614,not xxwidth
3066,pricey runs small and narrow cute colors
5831,stained
2659,support comfort
428,nice shoes
3478,size matters
4099,ok
5415,would size up
8508,their extra wide is not
5535,my third pair
1904,a bit small
1123,nice shoes
6447,great shoe
447,good shoes
64,cute not for running
6302,no complaints
7311,great shoes my personal favorite
7262,a little snug i usually wear a size
3976,good looking shoe though
749,no support
2675,this style seems to run slightly small
6823,uncomfortable around the ankle
7410,good sneakers for work
2877,not for long distance casual shoes would be fine
421,so comfortable
49,comfy shoes run a little large
6744,somewhat comfortable but fit is off
6,for the nurses
1864,tight fit
1087,excelnte producto
5265,great for a more narrow foot
4098,no arch support
2106,nice for the money
3443,awesome pair of shoes
691,if you are an athlete avoid
2427,great shoe
6523,two different shoes
7001,great lightweight sneakers that run small
4953,im sad
7374,love these shoes
4556,narrow shoe with perfect fit
2629,awesome service
7316,five stars
1589,qc needs some work
3994,feels cheap
7992,buy reliable and comfortable
3416,muy bonitos
5942,order one size bigger
3548,great purchase
1657,caused tendonitis from support and lace position
2370,stylish shoe
6490,great price
2698,so comfortable
7264,stylish and comfortable walking shoes
8691,not recommended for treadmill workouts
5161,amazing underappreciated brand
920,fits to size not a running shoe poor design for bottom of shoe
1435,there appears to have been a struggle
5059,sizes are wrong
5876,they’re ok
8562,padding please
463,super comfy sneakers
236,nice casual sneaker
2533,grear fit support and selection
782,gets caught on floor and causes tripping
3732,very good quality nice look
3612,very nice shoes would buy again
6896,runs large order a size down
4381,repackaged shoes
5700,not as comfortable as i was expecting
846,too tight
4181,que me pongan el dinero en la cuenta
3830,they get you in places
2054,comfort show
4680,look no further
4698,brooks is a synonym for perfect
1196,nice running shoes
878,not comfy
2329,torn through in days
1977,new balance not just old man shoes
1404,ua makes good inexpensive shoes
5477,too cute
5933,
6316,under armour foot armour
330,perfect
1888,super comfortable
4259,runs size too small and very narrow
6163,really nice but order up
796,fashion over function
3216,cheap material
4934,poor design
7765,fits great super comfortable
1045,third pair best triple e shoes ever
1371,goto
1328,comfortable shoe
2576,love love love
5881,peeky toe
4540,brooks ghosts are the best
3802,sweet design great fit
7098,perfect
4719,the price was better in men’s so i bought a men’s which equates to women’s
7214,my favorite comfort shoe
1647,not enough arch support
7751,asics venture are ok
1375,multiple pairs because they’re great
2913,updated one shoe is slightly bigger than the other
7704,how do i do to pick all black the
8615,avoid fall hazard
8541,you get what you pay for
6756,runs small and not breathable
8037,nice shoes look and feel great i want another pair and i want to get a pair for my son
1763,great shoe
755,asking for some kind of credit horrible sneaks
599,so these shoes look really nice but they do not work well if you
2794,perfect
6272,comfort in high level
1043,i m picky
7457,so comfy super cute
2582,comfort stability and style in one
4523,best shoes i’ve ever bought
2172,great delivery product disappointment
2637,most comfortable
1368,just what i was looking for
6746,unable to clean due to material
4671,good looking shoes
7537,took a very long time to arrive
5010,structure differs from ghost
7738,wish i could put in a star rating but i rounded it up to
7813,good from the start
4806,comfortable
5140,the most comfortable shoes ever
4849,my ghost s are more comfortable
491,comfortable but do not last
3456,stars
4110,too tight for a wider foot
5338,very comfortable
5146,i can stand in these all day
7206,love them super lightweight shoe and actually very airy
2782,great sneakers
2535,these are just ok
1533,legit
6015,excelente compra
5167,feels good
7331,comfort
685,no thanks
6953,there is something wrong with the heel on these shoes
2109,excellent
8146,most comfortable shoes out there
21,comfy
4417,awesome work shoe
1064,great shoes
6993,love these
1846,comfort and support
8645,doesn’t look like the picture
3769,beautiful 😁
7647,why am i getting the wrong order
140,perfect casual shoe super comfortable cute
6396,perfect white dad shoes
4329,correct product
8392,poor quality compared with the gel venture tread wearing out after just two months
7991,good shoe good price
5726,ouch
1313,great shoe glad i purchased them
828,so far i m not impressed
2744,fits great
7845,great quality support and comfort
848,i wish a little more care was taken
6948,feels cheap hurts ankles
7094,quality of the product and very light to run on treadmill
7257,son loves them
1356,most comfortable shoes i have ever owned
5681,defective
6434,good shoe for the money
7729,review in person before buying
379,best go to workout shoes
5105,great shoe
5141,beyond comfortable
5732,so sad but don’t buy these toes rip
3943,need to improve soles
3903,try on immediately
5891,poor quality
1803,runs small
53,my favorite shoes ever
967,shoes look different from each other
5612,not for overpronaters
2293,very poor quality falling apart after months
288,super comfortable
6758,these are not e width
425,comfortable
4447,i love this shoe
1139,nice shoe
4169,i wear these are and still tight
4131,pain in the foot
4754,very comfortable
46,finally a sneaker that s light and airy
3960,shoes are ok
677,cheaply made but fit just fine
82,light weight and comfy
6760,i got sent the wrong color
7235,nike women’s sneakers
5638,good for walking but not an all day wearing shoe
2991,broken after months
4148,comfortable but not long lasting
8372,blister city
2351,not what i was hoping for
7048,extremely comfortable shoes
1997,excellent value
7576,run small had to go to dsw and purchase a pair of and
6742,like shoes but holes in both quickly
1390,excellent shoes would definetively recommend
2441,fantastic shoes
4095,two stars
7671,color
702,love these shoes but came in the wrong size
137,love them so much i bought a second pair
68,good for short periods of time
6261,not for cross country
5005,the sole comes apart after weeks
8658,not black on black
719,so comfortable but wear down quickly
8425,not for my feet at all
6474,these are perfect
1772,great shoes
4046,great shoes just either i got a defective pair or used pair really disappointed
8444,cheaper model
825,awful
5650,comfortable but tongue is sewed to sides of shoe
6862,different sizes between the left and right
2267,fell apart after one month
202,surprisingly comfortable even after hrs on my feel
6077,great walking shoe
7531,too narrow hurt my feet
5387,super comfortable and amazing
1325,good fit
2187,new balance has fallen down
2332,runs small
7841,the only athletic shoes that fit my wide forefoot
1716,comfortable and durable
8587,terrible laces
5040,disappointed
8024,my favorite shoe for the price and quality
2615,incredibly comfortable shoe
578,so comfy but has downsides
610,too small size no arch support
1811,thumbs up
6162,shoes for the bbw in ya life
646,are they authentic
5534,amazing
1684,size weight comfort
3150,everything is getting smaller
1588,squeaky
4314,wide enough
5826,fit
8083,love it
6017,for me a better shoe than the slighbtly more expensive charged bandit
3950,dangerous slippery
5669,cute but useless
494,poorly made no support don’t breathe
3049,coming apart at the seams
3690,this shoe has form functional and style
3917,triple check your size and what s available
2526,great shoes for plantar fasciitis
5875,poor durability
7452,these were perfec
1748,best shoes i have used
2604,comfortable shoe
3651,great price
4989,way way too small does not fit as expected with brooks ghost
5303,my feet feel like they’re being hugged in all the right places
3194,poorly made
286,light as air
4020,small
2834,not pleased
6121,happy with this purchase
8537,ripped inside
2514,fits as expected and very comfortable
7230,very comfortable
4647,most comfortable shoes
8166,i bought size larger
3115,a bit narrow in the toe box
6550,nice looking shoe no support when walking jogging
1597,terrible
2805,perfect for plantar fasciitis
3305,it’s ok
2150,xxxxx
4644,very comfortable
6725,not impressed
418,very comfortable
5799,little to no arch support
6810,not a good pair
3568,good all around shoes
8628,i have a very large instep
7009,all day comfort
1382,bought too small
3217,don t buy this shoe if you want clean floors
1388,look great
2208,sizing not consistent with other nb sneakers
7299,great shoes but not made for long usage
3768,cómodos y bonitos
4100,poor grip and tight fit
6936,it’s a pass for running from me
5311,gave had a gift
3901,does not fit as described
1964,the shoes are great
2396,asics quality as usual
5759,the sole off centered
196,great sneaker
3829,as advertised 👍🏻
1150,great product
718,very comfortable but do not last
1616,absolute garbage
3258,even in wide width they run small and not enough cushion
1628,es indignante lo que hacen con los usuarios
3610,well made
5285,great quality style
557,disappointed
2373,no padding for walking or running
1392,son bien cómodos y por buen precio
8670,not good
1658,doesn’t last tread falling off after one month of wear
2759,great fitting support in a running shoe
442,these run a little big get true size
2113,it s great
1262,under armour shoes
2372,extra wide is actually e shoes go flat
3559,good shoes
4398,nice runner
386,my daughter received many compliments
7209,the fit and looks
7071,perfect
7396,five stars
4773,absolutely the best
7968,one of my favorite shoes
3590,nice looking sneakers
5422,great product
7196,perfect
8305,shoes run small buyer beware
2394,asics got the color wrong it’s not black silver
277,great shoe
5731,okay shoe
4441,great shoe light weight and super comfortable
6243,great for very wide feet
3776,good quality
314,super comfortable
1771,perfect in every way
5224,love these shoes
2131,so comfortable
3383,good shoes for the price see size description here
4602,very light and comfortable
5850,run a little small
2270,wont accept my return
7123,comfortable
2570,problems with sliding forward
8479,threading on sides coming apart
6579,good but to for running
8148,gel differences in shoes
1718,very comfortable simply stylish
4855,they are eh
3676,believe the width advisories
706,not real adidas shoes
7211,just a bit to snug
3914,not snug fits too loose
279,my favorite shoe
1096,awesome shoes
7906,nice upgrade from the gel venture
3081,not good for plantar fasciitis
1485,not for running
4906,a fine shoe but seems to have changed
4195,all ways try them on
31,great for pavement not for country running
2344,poorly made
8214,not quite right
4112,three stars
1724,great shoe
1949,all good
4723,best shoes i ve ever owned
728,cheap shoes
3681,love it
684,desilusiónada no son originales son imitación
6656,built well but hurt my shins
1570,not like my first pair
5974,look nice but very wide
8086,extra wide is a game changer
2101,very comfortable
3796,quality
1968,love these shoes super light and super comfortable
5558,great walking shoe
1261,check your size
773,they’re okay
1561,difficult to order proper size on line
4559,very comfortable
1973,excellent shoe
7016,perfect
1754,a little narrow but great
5116,happy wife pleasant house
1189,nice looking shoes very comfortable
7868,great running shoes
6212,crazy light very comfortable
6306,my favorite pair of every day shoes
467,love love these shoes
6276,excellent shoes
2366,inspect the soles carefully
5782,too big
5947,cute shoes run small
3232,worst asics shoes ever
1929,nice shoes
8150,great quality shoe better price than going to the store
342,almost like no shoes at all
2860,happy feet
5514,wow
6092,all around amazing shoes
6379,nice shoes for the price
7489,comically bad
6797,size small
5835,great shoe not for winter
6898,they fell apart quickly
339,love these
2260,purchase it bad idea
3496,solid material it s second time i buy
6983,bottoms tore
4624,long time brooks customer
2122,perfect
4738,fit and comfort
2256,tight fit
5588,absolutely regret purchase feet went numb when worn
7727,good shoes
2658,great shoe
253,comfy
8261,crap do not buy
4206,not even close to the picture they are showing
1065,good running shoes
366,comfortable sneaker should have gotten size bigger
6344,i love them
6615,wear out way too fast 😢😡
2541,the wide shoes aren t very wide
1466,excelente producto de momento todo bien
7653,wrong size
5670,cute comfy not built to last
3179,did not meet expecations
7269,comfortable and just what i was looking for
2938,disappointed won t be buying asics again
7857,excellent shoe
6567,good comfort but they don t hold up for long
6318,perfect fit
583,bad quality
2377,disappointing
2622,i needed new running shoes post pregnancy and these delivered
424,comfort and style
5004,too wide and uncomfortable for running
1515,lasted months holes now
4477,cobalt is purple
3320,arch support poor
1361,very nice
4007,not good for us maybe will work for others
2867,lightweight and great for running
6694,these shoes aren t that great
8310,gel kahana is better especially off road
1955,if you walk walk this way
2114,precio calidad y prontitud de envio
152,better then perfect
5259,great color super comfortable
1983,would buy again different color
744,they run big
7736,awesome shoes for rugged terrain
3949,comfortable but fabric gets dirty quick
4142,get a bigger size than you wear
3465,it’s a good shoe light weight but could use more arch support if used as a work shie
259,super comfy shoe
2089,the wide size fit well
621,fine for smooth surfaces painful on gravel and other trails
2666,fabulous shoe
3051,sore feet
4039,small
6050,stars for look comfort
77,perfect sneaker for comfort and convenience
8210,knockoff
1920,nice sneakers fit well arrived as expected
2539,love these sneakers
4775,perfect running shoe for me
7535,loved the comfort
3274,definitely not that wide
5266,hands down fav pair of shoes
2316,sole of shoe
5252,cute teacher shoes
306,so comfy
8609,a little snug
6950,not enough padding
1434,great shoes
5393,perfect shoe
2418,finally the asics i fell in love with
7763,asics is a great reliable and cost effective brand
6712,bargain priced
4877,return is impossible
2416,great shoe upgrade the insoles
5946,not good for wide feet pigeon toe walking
3602,excellent shoes for distance running
4620,love these shoes my feet are so happy
7419,light weight shoes
2825,great gift
1638,cuts my ankle
8026,agree with others why the cheap shoelaces
8188,new comfortable durable nice looking shoes
468,fit perfect true to size love the color
313,my favorite shoes ever this is my th pair
426,comfy casual cute
4086,too tight
2822,asics are the best
3835,feels like a pair of work boots alot of clumping sounds
5014,expected different
634,chico
8213,not like previous versions of this shoe quality has suffered 🤨
2842,good accurate fit
2500,great trainer
659,not the same as the pic
14,adidas authenticated not fake also good for bunions and wide feet
5372,good product
7217,love them
5586,feet hurt still
7360,comfortable
5297,perfect all around shoe
60,most comfortable pair of shoes i own
838,so comfy but run really big
3460,looking good and fit gr
7252,love my shoes
6785,tight
6757,good for the price
1019,checks all the boxes
3855,quality has went downhill bad
275,wonderful everyday shoe
3580,comodos perfectos
1871,very comfortable extra wide width is prefect
860,not for plantar fasciitis
870,shoe felt and sounded like literal trash
6730,good comfort mediocre quality
2492,best shoes ever
8087,asics shoes
3919,nice looking but no stability and not good for pronators
3197,runs narrow
7837,very supportive
1985,great shoe
4400,brooks best shoe
6191,my new daily drivers
8296,asics is my favorite but
4092,disappointment
881,not for high arches
1346,the fit
7466,good fit
3340,new shoes
1496,hurt bottom of feet
5810,to large in the toes
5735,came with a stain on left shoe
4746,brooks shoes
6420,go a half size bigger than sizing guide
3664,very nice shoes
7164,great shoes
6859,talla muy pequeña mal soporte
3739,good price
8152,wide foot perfect fit support
2857,asics are the best
5356,you re sure to get compliments on these shoes
5328,great shoes
7518,fabric quality issue
6752,were uncomfortable
3208,asic gel
7909,good shoe
1308,the shoe fits and comfortable
226,most comfortable shoes i own
6929,the hurt my left foot
5632,comfortable but the lace eyelet broke
408,just what i wanted
6115,so comfortable
4341,very nice shoes
1337,so comfy
4064,stiff
7855,good support and fit
8356,version is better
3702,more than i expected
592,cute but rubbed a sore when running returned
3593,they are getting more comfortable as i wear them
4077,not a wide shoe
6328,great for walking and running
7204,best christmas ever
7402,perfect
3646,puma tazon great sneaker
6796,narrow toe little arch support runs small
4354,amazing shoe from a runner who knows shoes but
7923,kind of clunky
1089,great sneakers
70,must have
4950,the midfoot width is too narrow compared to new balance
2890,poor quality buyer beware
3806,delivered as expected
892,this one wasn t for me
391,the most comfortable sneakers
608,facilitates injury
1567,way too small
4990,still love the ghost
1481,not near as comfortable as the last pair i bought
6858,blisters cut from back of shoe within mins of jogging
7958,great shoe but seems narrower than the standard size
789,memory foam ends a little before the toes feels weird
6587,wore out in less than a year
7115,perfect
1051,bought for fourth time over yrs
1365,cómodos
6247,great all around fitness shoes
2528,wide width doesn t feel any different than regular width
6155,best shoes
6709,shoe runs small
6058,nice walking shoe
3503,comfort function and looks
4434,excellent support
7781,really great price on a great shoe
5878,cute shoes but no support
8555,noisy shoes
4632,my favorite brand style of shoes
5527,best athletic shoes ever ordered online
1385,comfortable to walk in
8239,lacking
7882,the most comfortable shoe i have ever worn
4012,snug
4646,flexible comfortable lightweight
2128,buy a half size bigger
2412,best priced most comfortable narrow fit
6277,long walks no complaints about feet hurting
1167,reasonably priced very comfortable walking shoe
6366,great shoe great price recommend for walking biking
800,size down
2792,not as much cushion as i was hoping for
8043,good walking shoe
6913,runs small
7052,comfortable shoes
7173,just a little short in length per your normal size
7914,you can spend twice as much
3412,works great
8137,fits perfectly major comfortable
847,uncomfortable
6553,has an achillies toe
571,sole wears out super fast
3449,true to size
3946,not comfortable
3375,wrong description
1345,excelente elección
6720,beautiful but they broke immediately
6339,nice width supportive and light
4796,great for nurses or anyone on their feet for long periods of time
5248,excellent shoe
1197,they’re ok
5740,terrible blisters
6080,great shoe and great price
3695,awoseme shoes i wpuld recomed
4841,update first product defective second product great
5989,not a fan
7169,comfortable shoes
117,my new everything sneakers
3350,too small
1071,best shoe ever for my husband
6670,shoelace eyelets not punched
3357,no arch support
1523,not impressed with these
5386,las recomiendo totalmente
7495,fake shoes
5690,great for jeans
988,great shoe for all around use
4970,gross dirty shoes
1092,shoes
4705,brooks ghost review
3632,great
4433,great shoes
1687,good service and good shoe
2832,great color ok shoe
3431,got the perfect fit
1899,great price compare to the store
4224,narrow shoes
8135,fine footwear for gym and casual wear
7153,i purchased this for my mother and she loves it
5412,you’ll want these
5563,great purchase
5779,very sporty and light
7387,very comfortable and they look great
4242,didn t fit
445,not impressed cheap and tight fitting
2711,nice and firm support
6481,great
7414,wrong color came but the shoe works
809,tongue on shoe doesn’t lay flat irritated my leg
189,stars for me could be better
498,they don t feel like cloudfoam
7910,the perfect asics
6892,don t buy
4749,i bought for someone else
3,awesome
1640,not original
1734,excellent shoes for people with wide feet
5565,great fit comfortable but over priced
481,lightweight and comfortable for treadmill
7874,fantastic running shoes
2967,to big didn’t last long
4609,great fit
1333,well made
841,shoes dirty upon arrival
7839,great value for the shoe
6505,order your usual size didn t cut it
1180,great value
7426,lindos
129,immediate comfort
5478,durable gorgeous pink comfy
5623,comfortable but not durable
2214,not what i expected
8395,a bit too small
59,love love love
5366,true to size
7116,comfy and stylish
5785,holes after months
6748,too small
4396,cannot say enough good things about these shoes
1467,me gustaron mucho
7144,nikes are a favorite
8437,piece of crap
6621,sizing was way off
6196,get them get them get them
8049,really a good shoe
7829,great for disc golf
6088,the toe will be the first to go kinda spongey
4196,size
1021,perfect gift for my husband
3928,not very wide narrow shoes
666,not for bigger people who walks a lot
1425,good
5562,great shoe highly recommend
3966,ouch
1482,ordered wide and it wasn’t wide enough
6368,good but not great
3483,the shoe so nice i bought it more than twice
2385,black silver is actually navy silver with turquiose and lilac accents
8480,nice comfortable shoes but
4444,consistency is great
2503,perfect walking shie
7779,great shoes but the laces
8330,stiff
7349,these shoes are soooooo comfortable as soon as i put them on they
7435,comfortable and breathable
6850,high back tab
759,don’t buy these
5217,comfortable bright and fun
8654,disappointed
7455,five stars
1807,they are very comfortable
8167,my son loves these sneakers great gift for his birthday it was affordable as well
2021,very good fit for wide foot
8154,very nice sneakers
1797,know what size you need
8456,does not hold up
8009,the real deal
7189,great shies
7930,wonderfull
1296,very hard
6108,like walking on a cloud
6403,bet option for the price
1408,under armor a
6321,great shoes
2022,great versatile shoes
2870,color
5428,extremely comfortable
3396,very comfortable
7527,medium heel support
2308,small
3657,size up
6206,he loves them
2998,clunkyi
7814,great shoe but the shoestrings are super thin like tying your shoes with thin wire
6140,the best workout running shoes
7561,fake
7,happy as a cloud
8060,good shoes
2144,great purchase
1793,they fit according to size
8687,fit
444,super comfortable
484,lightweight and comfy
4837,light weight soft cushion but upper part is not soft enough
797,cute but not enough cushion for exercise
4160,look good feel terrible at least for me
3302,disappointed
7744,for the win
216,stylish and comfortable
4634,shipping hiccups
7408,super cute
3211,i think it made plantar fasciitis worse
2219,too narrow e
397,same great quality but better price
6441,quality shoes
601,comfy just not really sturdy
8589,tight at toe box
3102,well crafted shoe great color just not the right fit for me
7629,fakeeee
2181,lasted about month
6195,bye bye foot pain pricey but worth it
8517,wide to small
6283,just right
985,immediate comfort no break in period required for these
8117,trail crushers
6759,wrong size
2481,my feet thank me
1747,good shoes but run small
2780,great sneaker
2225,doesn’t come with loop on back of shoe
7400,my daughter loves these
2724,love them
4377,i am a brooks convert for life
3290,runs small
584,poorly made miss colored no addis inside the sole
4799,nice looking comfortable shoes
7652,poor quality
5872,disappointed
7242,wife loves them
5523,great for wide feet
3173,really wanted green tennies
5494,great buy
2469,good shoe
7418,love them
3939,width to small
3447,very good but not perfect
5112,great looking and comfy shoe that fits orthotics
2338,the bottom rubber at the toe is coming off after week on both sneakers disappointing
4587,great all around running walking shoe
3418,good running shoe
1276,good shoe
4860,not as expected
438,great sneakers
4146,shoes smaller and tighter
8409,fits smaller and different color
2559,different color than described but comfortable
7370,these look great if i didn t have a toe problem
5007,sole fell apart within a month low miles
4712,great fit
7900,as described
3490,excelentes
7108,good
5619,not as pictured
409,comfortable and light on your feet
1634,not proper comfort
7157,loved it and reordered
3672,built to last
558,feels cheap … runs big — returned
1398,to narrow in toe box
1777,very comfortable
1449,true to size very comfortable like walking on pillows
2729,cute and comfy
807,cute but not for running
2456,great for pronation and narrow heel
2813,super comfortable
1066,built well and comes in wide sizes
4172,to small
4019,junk
2962,disappointing fit
5455,great for pf
2608,great shoes
628,these are not for running 🚫
4560,great shoe
4521,happy husband
3528,sharp looking sneaker
2590,great every day shoes
7075,super comfortable
4212,no arch support
3082,fit and materials not up to par
5673,hurt my feet
4882,brooks has changed fit
5962,won t buy again
1148,nice
5533,it’s a cute shoe
4233,didn’t hold up
8070,very good and comfortable
2884,falling apart fast
617,poorly made with no quality oversight and no support
4425,favorite running show
7822,excellent shoe
4024,sole doesn t last
5200,they are really comfortable
7172,comfortable shoe
1055,i like under armour
5176,so far so good
7472,awesome
8207,shoes are a size larger than normal asics
6072,well built shoe
1242,very comfortable
8486,move on a once decent kick has succumbed to “let’s see how cheaply we can make it”
6541,look good but that’s about it
7558,shoe fell apart in months
8447,no good
6398,shoe size
193,true to size and comfy
2254,shoe seemed fine but small
3941,shoelace holes break fast
1031,nice shoe
5292,great buy
3406,puma force to be reckoned with
6130,cushioned lightweight running shoes
3294,you get what you pay for
1081,good value
224,light weight and good for errands short walks
2009,great for running
6405,longer lasting than nikes of same price
6682,didn t last long
2569,holds up well with lots of use
1532,feet stink after two wears
2165,new balance dropped the ball on these shoes
2401,true to size fit super comfortable
3263,look good but make my feet hurt
3068,may be for flat footed folks
776,bad fit and on refund
6037,good for running but tight on the heel
6881,bad smell
4097,not bad
1960,nb shoes
7622,shipping care product
287,very attractive
4502,fit well and last well
3850,fit is great the shoes hmmmm
8506,got torn within a month
6908,shoe lace ripped off
3891,way too narrow hurt feet
3213,small toe box
1258,good sneakers
7307,cute but made of a mesh material that’s not good in rain
1847,quality
1157,excelente producto y calidad muy cómodos
5257,will get another
5771,narrower toebox
8639,quality control
1701,treasured find
4780,great product
1498,not really running shoes no cushion
7946,new shoes
1624,not as advertised
829,cute but avoid if searching for a new pair of running shoes
8159,comfortable and good quality
1505,ouch i ve owned multiple underamour shoes
1256,cute shoes
2851,great pair of asics
4221,they are supposed to be comfortable
4639,great lightweight running shoe
2585,flat feet must buy these sneakers
3358,feet hurt after first walk
263,great product for the price
1457,very stylish
1205,super comfy
6860,cheap looking
3084,heel problems
6346,good fit
5697,cute but short
8020,good walking shoe
7187,holding up great
10,amazing
975,not good
808,opposite of cloud
4090,not the best quality
97,the most comfortable shoes ever
3442,good value nike jordan s prices are madness
688,inside black lining makes feet too hot sweaty and potential for athletes foot is high
5343,love this foot saver
7679,shipped wrong size
7078,perfectos
8682,comfortable but little support
1381,👍👍👍👍
3133,poor stitching defect
5398,sizing
6732,fits about a size too small
5749,cute
1160,great shoes
7111,accurate sizing arch a little low
7032,logo peeled off
2102,betts
8056,like walking on air
6829,watch for wrong picture and description of shoe
7344,the best
111,love these shoes
3900,comfortabke but tongue quickly came away from the sneaker
1708,great price great shoe
7225,perfect fit every time
5846,runs small
4983,not comfortable
7336,and i just love it very light weight
1041,strong enough for running therefore great support for walking
1257,arrived on schedule good value
827,me and two others bought all have pain now
3615,i love these shoes
2194,little support feet hurt after min of exercise
3424,poor quality
6986,cuts the back of your foot you will bleed out
3199,not very comfortable
7913,great sneakers for running
1070,excelente zapatos deportivo
7028,ok
4758,true to size
6397,nice running shoes at a great price
1363,good fit
4405,good shoe if you have really wide feet
8125,support and comfort for a reasonable price
4607,very comfortable shoe
5509,sketchers
5737,broke twice
2595,satisfied
4182,not sturdy and elegant
1355,i love under armour gym shoes…amazon allows for an easy purchase and delivery
5061,much bulkier than anticipated overly engineered good for high mileage
2176,they have changed sizing no longer fits
6114,american quality basic running shoes
6831,do not get these shoes wet
1473,purchased for th grade son at start of the year already coming apart
8641,no es la talla correcta
6779,avoid
4913,good shoe back of heel wore out quick
2672,super comfortable
5689,different color different fit
6926,ok nothing great
3747,los tenis debe haver en w
1652,too small
7259,cute shoes
3990,worst shoe is ever bought
1621,comfortable
5065,overcharging
8249,big toe quickly wears out top of shoe
7037,my go to shoes
3153,not wide enough
430,cute comfy sneakers
872,might be fake beware
3797,great but to small for me
7382,very comfortable
4054,shop around
5718,great fit but needs more support in the heels
5231,excellent
3937,poor quality will not last more than a couple months if you walk alot
6514,worn twice and fell apart don t waste your money
3466,great shoes
1008,comfortable and sporting shoe for casual all day wear
3872,already coming apart after weeks
1837,comfortable
3369,great for people on their feet all day
1479,shoddy construction cheap materials weeks to failure
2708,nice looking shoe
2417,a perfect fit
883,not what i expected
996,try before you buy awesome program
3912,not recommended
6472,perfect fit everytime for years
6991,best shoes for aching feet
2085,very comfortable sneakers
7255,order a size up
23,love comfortable daily shoe
2454,more arch support needed
1182,loved the shoes
6640,defective item avoid only last a few months
4670,comfortable
6207,comfort
2223,laces suck
3865,a very good shoe
3278,laces too short
2568,love these shoes
5754,right and uncomfortable
7697,disappointed
2478,light weight shoe
2143,runs large
3556,the perfect shoe
5885,starting to squeak
1316,perfect
3842,love the look
1560,rubs toe and heal
123,love these shoes
3972,not breathable
8288,seriously
2409,firm but supportive like a stern grandfather who slips you a when your parents aren t watching
1154,mens shoes
5053,color description sucks
1816,really good lightweight walking shoe
1999,great running shoes
4569,wear them daily still awesome
3668,awesome shoes exactly what i wanted
6647,no supportt
7505,these are one pair of good looking shoes that skimp in the they feel like a well made product department
5915,hard to slip on
6854,deficient terminations
2110,exactly as described and fast shipping
8010,pretty good shoe
6901,not comfortable
1702,great for large and wide feet
5725,didn t last long
1972,nice
2096,exactly what i expected fully recommended
5321,true to size very happy about purchase
813,they’re ok
7581,this is my nd pair
8412,good product
5403,comfortable
1502,worn time and falling apart already
7365,love them
164,worth it
4956,great fit but finish is lacking
692,terrible purchase
6073,comfy
1680,made the list of my top five best sneakers
6650,will not stand up to martial arts training
4093,size not consistent
7559,great shoe but a bit tight
6424,excellent fit excellent comfort
1422,i buy a new pair of these every months
4301,they do get warm i am hoping in winters it will be better
32,so cute and comfortable
5020,ghost blah
652,long and slim
6431,nice lightweight shoe
3065,my favorite style is now too narrow
2628,comfortable cute
5698,poor quality
